"Geneset.ID" "Description" "P.value" "Geneset.Peak.Genes"
"1" "GO:0031497" "chromatin assembly" 0.000242499068082091 "8347, 3017, 8340, 8344, 8367, 1029, 1058, 3005, 3006, 3007, 3009, 3010, 3014, 3070, 3148, 4171, 5928, 6662, 7157, 7290, 8339, 8341, 8343, 8348, 8350, 8351, 8356, 8357, 8360, 8361, 8363, 8369, 8467, 8520, 8971, 9555, 10036, 10664, 22893, 57082, 80152, 126961, 128312, 128854, 132243"
"2" "GO:0006334" "nucleosome assembly" 0.000371021540172302 "8347, 3017, 8340, 8344, 8367, 1058, 3005, 3006, 3007, 3009, 3010, 3014, 3148, 4171, 5928, 6662, 7290, 8339, 8341, 8343, 8348, 8350, 8351, 8356, 8357, 8360, 8361, 8363, 8369, 8467, 8520, 8971, 9555, 10036, 57082, 80152, 126961, 128312, 128854, 132243"
"3" "GO:0006333" "chromatin assembly or disassembly" 0.000501611707198128 "8347, 3017, 8340, 8344, 8367, 9874, 1029, 1058, 3005, 3006, 3007, 3009, 3010, 3014, 3070, 3148, 4171, 5928, 6598, 6602, 6662, 7157, 7290, 8339, 8341, 8343, 8348, 8350, 8351, 8356, 8357, 8360, 8361, 8363, 8369, 8467, 8520, 8971, 9555, 10036, 10664, 22893, 55201, 57082, 80152, 126961, 128312, 128854, 132243"
"4" "GO:0006323" "DNA packaging" 0.000519014280790145 "8347, 3017, 8340, 8344, 8367, 983, 1029, 1058, 3005, 3006, 3007, 3009, 3010, 3014, 3070, 3148, 4171, 5928, 6662, 7153, 7157, 7290, 8339, 8341, 8343, 8348, 8350, 8351, 8356, 8357, 8360, 8361, 8363, 8369, 8467, 8520, 8971, 9131, 9555, 10036, 10664, 11044, 22893, 26038, 57082, 58531, 80152, 83983, 126961, 128312, 128854, 132243, 346673"
"5" "GO:0048308" "organelle inheritance" 0.000616156917543512 "6811, 5604, 983, 1263, 2801, 5594, 5595, 64145"
"6" "GO:0044801" "single-organism membrane fusion" 0.000658508699240374 "5071, 6504, 6811, 6677, 6844, 9927, 84749, 112755, 167, 302, 2515, 2773, 4976, 6812, 7075, 8411, 8448, 8675, 8677, 9482, 9712, 9910, 10791, 11151, 23102, 23158, 23208, 23329, 26000, 27072, 27183, 51479, 54662, 54843, 55022, 56947, 64145, 79594, 79735, 79805, 93627, 117144, 125058, 161514, 254272, 255928, 341359, 415117, 729873"
"7" "GO:1903573" "negative regulation of response to endoplasmic reticulum stress" 0.000770542126900246 "5071, 10399, 4976, 5770, 7009, 9709, 10488, 10525, 10956, 11315, 51035, 51283, 55432, 84447, 91319"
"8" "GO:0034728" "nucleosome organization" 0.000950246830811628 "8347, 3017, 8340, 8344, 8367, 1058, 3005, 3006, 3007, 3009, 3010, 3014, 3148, 4171, 5928, 6598, 6602, 6662, 7290, 8339, 8341, 8343, 8348, 8350, 8351, 8356, 8357, 8360, 8361, 8363, 8369, 8467, 8520, 8971, 9555, 10036, 10467, 10664, 26038, 57082, 80152, 126961, 128312, 128854, 132243"
"9" "GO:1905897" "regulation of response to endoplasmic reticulum stress" 0.00100424022803398 "5071, 10399, 7917, 23411, 2081, 4976, 5770, 7009, 8975, 9024, 9709, 10488, 10525, 10956, 10961, 11315, 51035, 51283, 55432, 84447, 91304, 91319"
"10" "GO:0006888" "ER to Golgi vesicle-mediated transport" 0.00122280321521921 "6811, 10959, 6396, 11070, 65258, 372, 375, 966, 1075, 1604, 1778, 1781, 2157, 2348, 2801, 2804, 6653, 6709, 6711, 7415, 8655, 8775, 9218, 9276, 9382, 10427, 10525, 10540, 10671, 10802, 10897, 11316, 22796, 27095, 29098, 29959, 51124, 51128, 54732, 57222, 81562, 83696, 122553, 126003, 149111, 340371"
"11" "GO:0038179" "neurotrophin signaling pathway" 0.00141783538966748 "9564, 8936, 836, 2889, 4692, 4803, 4914, 5781, 5894, 5906, 6272, 9001, 11151, 118813"
"12" "GO:0060359" "response to ammonium ion" 0.00150385875085852 "5071, 1136, 1813, 26, 100, 199, 468, 836, 840, 1128, 1133, 1729, 1788, 2821, 3176, 3269, 3329, 5021, 5244, 5520, 5581, 5594, 5595, 6531, 6569, 6818, 6863, 6869, 8682, 8772, 9456, 23236, 58530, 63826, 84687, 221935"
"13" "GO:0061025" "membrane fusion" 0.00155613160155755 "5071, 6504, 6811, 6677, 6844, 9927, 84749, 112755, 167, 302, 310, 2515, 2773, 4976, 5877, 6812, 7075, 8411, 8448, 8675, 8677, 8692, 8775, 9218, 9482, 9712, 9910, 10791, 11151, 11261, 23102, 23158, 23208, 23329, 26000, 27072, 27183, 51479, 54662, 54843, 55022, 56947, 64145, 79594, 79735, 79805, 93627, 117144, 125058, 161514, 254272, 255928, 341359, 415117, 729873"
"14" "GO:0072091" "regulation of stem cell proliferation" 0.00187842997539378 "4054, 1813, 126695, 1524, 2290, 3148, 5788, 6664, 6926, 7101, 11023, 54345, 54487, 58495, 63950, 147040, 151871, 192669, 342371"
"15" "GO:0048011" "neurotrophin TRK receptor signaling pathway" 0.00195434014460917 "9564, 8936, 836, 4692, 4803, 4914, 5781, 5894, 6272, 9001, 118813"
"16" "GO:0048284" "organelle fusion" 0.00216922585980798 "5071, 6504, 6811, 6844, 9927, 84749, 112755, 154, 302, 983, 2773, 4976, 6812, 7415, 8411, 8448, 8675, 8677, 9482, 9711, 9712, 9910, 10791, 11151, 23102, 23158, 23208, 23329, 26000, 27072, 27183, 51479, 54662, 54843, 55022, 56947, 57192, 64145, 65082, 79594, 79735, 81631, 93627, 125058, 161514, 254272, 255928, 341359, 415117, 729873"
"17" "GO:0060285" "cilium-dependent cell motility" 0.00221487087962318 "146754, 5991, 25981, 56171, 83659, 92749, 117144, 146279, 339829"
"18" "GO:1903204" "negative regulation of oxidative stress-induced neuron death" 0.00221529177646514 "5071, 10399, 468, 11315, 57707, 65018"
"19" "GO:0006986" "response to unfolded protein" 0.00231348232294175 "4189, 5071, 10399, 7917, 9927, 10106, 468, 1200, 2081, 3308, 3315, 3329, 3336, 5770, 6745, 6818, 7009, 7057, 7415, 9666, 9709, 10273, 10488, 10525, 10897, 11231, 23197, 26291, 27230, 51283, 51528, 51726, 54956, 55432, 84236, 84447, 84699, 91319, 116138, 118424, 285533"
"20" "GO:1902236" "negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway" 0.00255740964858276 "5071, 4976, 5770, 7009, 9709, 10488, 10525, 11315, 84447"
